kp,kd,ki,f1, f2 
9.56568669909216,3.7822011543508793,6.159104571482449,2.659383294122505,0.03280378340698969
7.489766381820137,2.081114303470846,1.0,2.1977715120997505,0.038713409121309716
7.8947230627126075,3.5173880194276483,1.0,2.7738088022463687,0.03273132218166414
9.043579471541934,1.0,1.0,1.8899587724026345,0.06025537993675996
8.186312127116034,1.0,1.0,1.8991370561391405,0.059263024607740716
6.031168950802691,1.4883866961819936,2.9026177299788483,2.1771470260178383,0.03999496444336631
4.628691445129108,1.0,0.6380983600213975,2.030696847998856,0.042126141695878395
3.257278092595171,1.0,0.6659696573593118,2.2875922574362306,0.035740734899175924
3.023497998813939,1.0,3.3123069423202764,2.5399427159349433,0.03411977492283522
7.471017795042386,0.9483727228280553,0.9342816081287784,1.9032702190202262,0.05836323242186712
3.257278092595171,1.0,0.5726397621159591,2.281005006084114,0.03578137864949468
9.030405231642883,3.9421233683690113,4.48712595993018,2.793697395214653,0.03210384357455499
7.128656237052075,1.0,0.9898109303328484,1.9179833413052423,0.05471076517227367
7.471017795042386,1.0,0.9342816081287784,1.9084579131593997,0.056505913885873935
4.1848327968233505,1.0,0.5732571301169702,2.0814528457057087,0.04000570808012255
9.827618531608334,1.0,1.0,1.887272407306025,0.0623675251920511
9.487182786108047,1.0,1.0,1.8877412112630616,0.061313435309711395
5.619348851427091,1.0,0.9246365573980194,1.9699593543914555,0.04701684832649535
6.031168950802691,1.0,0.5415482029016597,1.9321160551926992,0.04907974826875662
7.109518878776456,2.0228584561150686,2.377850930513268,2.2535230660752372,0.03786144153140324
9.043579471541934,3.5674758982269617,3.3123069423202764,2.6231489969139448,0.03342575427910874
7.8947230627126075,3.5173880194276483,9.442292056428144,2.906282204714951,0.03132940443282444
8.448734201189458,2.9819257659108764,0.55769372103596,2.4223375530012943,0.03541973329260859
6.468785388790596,2.1955424630680973,3.492233497181224,2.4518271260291464,0.034721413185360935
6.031168950802691,1.4883866961819936,3.111436261786066,2.183801928425503,0.03996377623505135
7.471017795042386,3.470471857688401,6.330388974396815,2.9383682265718525,0.030891309558645514
6.765054081367645,2.7379163691938513,1.2969322154335539,2.6316445791578555,0.03341397052941705
