Hv 
-1729.512787584086
-1779.0520477628797
-1937.2047736779084
-1838.543197537885
-1781.137056393289
-1782.2046554760477
-1903.6083016319242
-1913.1080877242734
-1594.9282116070342
-1852.877749028844
-1776.1013808253563
-1865.4160155532372
-1798.9272136779791
-1646.7956016960563
-1800.2724739579094
-1873.757248118718
-1878.7690450286905
-1867.598084385802
-1857.022573397141
-1917.3095035950992
-1897.7972745422637
-1968.4242303197855
-1918.7578414392533
-1593.1542341475104
-1876.3027688223399
-1914.2591260607387
-1884.8746460424823
-1285.0085132723484
-1897.488799189887
-1853.8699972944437
